iter	Passed	Remaining
449	1080	1320
450	1082	1317
451	1084	1314
452	1086	1311
453	1087	1308
454	1089	1305
455	1092	1302
456	1094	1299
457	1095	1296
458	1097	1293
459	1099	1290
460	1101	1287
461	1103	1284
462	1104	1281
463	1107	1279
464	1109	1276
465	1111	1273
466	1112	1270
467	1114	1266
468	1116	1264
469	1118	1260
470	1119	1257
471	1121	1254
472	1124	1252
473	1125	1249
474	1127	1246
475	1129	1243
476	1131	1240
477	1133	1237
478	1135	1234
479	1137	1231
480	1139	1229
481	1141	1226
482	1142	1223
483	1144	1220
484	1146	1217
485	1148	1214
486	1150	1211
487	1152	1208
488	1154	1206
489	1156	1203
490	1158	1200
491	1160	1197
492	1162	1195
493	1163	1192
494	1165	1189
495	1167	1186
496	1169	1183
497	1171	1181
498	1173	1178
499	1175	1175
500	1177	1172
501	1179	1169
502	1181	1167
503	1182	1164
504	1184	1161
505	1187	1158
506	1188	1156
507	1190	1153
508	1192	1150
509	1194	1147
510	1196	1145
511	1198	1142
512	1200	1139
513	1202	1136
514	1204	1134
515	1206	1131
516	1207	1128
517	1209	1125
518	1211	1122
519	1213	1119
520	1214	1116
521	1217	1114
522	1219	1112
523	1221	1109
524	1222	1106
525	1224	1103
526	1226	1100
527	1228	1097
528	1230	1095
529	1232	1093
530	1234	1090
531	1236	1087
532	1238	1085
533	1240	1082
534	1241	1079
535	1243	1076
536	1245	1073
537	1247	1071
538	1249	1068
539	1251	1066
540	1253	1063
541	1255	1060
542	1256	1057
543	1258	1054
544	1259	1051
545	1261	1049
546	1264	1047
547	1266	1044
548	1268	1041
549	1270	1039
550	1271	1036
551	1273	1033
552	1275	1030
553	1277	1028
554	1279	1025
555	1281	1023
556	1283	1020
557	1284	1017
558	1286	1015
559	1288	1012
560	1290	1009
561	1292	1007
562	1294	1004
563	1296	1002
564	1298	999
565	1300	996
566	1301	994
567	1303	991
568	1305	988
569	1307	986
570	1309	983
571	1311	981
572	1313	978
573	1314	975
574	1316	973
575	1318	970
576	1320	967
577	1321	965
578	1323	962
579	1325	960
580	1327	957
581	1329	954
582	1331	952
583	1333	949
584	1335	947
585	1337	944
586	1338	941
587	1340	939
588	1342	937
589	1344	934
590	1346	931
591	1348	929
592	1350	926
593	1352	924
594	1354	921
595	1355	919
596	1358	916
597	1360	914
598	1361	911
599	1364	909
600	1365	906
601	1367	904
602	1369	901
603	1372	899
604	1374	897
605	1375	894
606	1377	891
607	1379	889
608	1381	886
609	1383	884
610	1384	881
611	1386	879
612	1388	876
613	1390	874
614	1392	871
615	1394	869
616	1396	866
617	1397	863
618	1399	861
619	1401	858
620	1403	856
621	1405	854
622	1407	851
623	1409	849
624	1410	846
625	1412	844
626	1414	841
627	1416	839
628	1418	836
629	1421	834
630	1423	832
631	1424	829
632	1426	827
633	1428	824
634	1430	822
635	1432	819
636	1434	817
637	1436	814
638	1438	812
639	1439	809
640	1441	807
641	1443	804
642	1445	802
643	1446	799
644	1448	797
645	1451	795
646	1452	792
647	1455	790
648	1456	787
649	1458	785
650	1460	782
651	1462	780
652	1463	777
653	1465	775
654	1467	773
655	1469	770
656	1471	768
657	1473	765
658	1474	763
659	1476	760
660	1478	758
661	1480	755
662	1482	753
663	1484	751
664	1486	748
665	1487	746
666	1489	743
667	1491	741
668	1493	739
669	1495	736
670	1498	734
671	1499	732
672	1501	729
673	1503	727
674	1505	724
675	1506	722
676	1508	719
677	1510	717
678	1512	714
679	1514	712
680	1516	710
681	1518	707
682	1519	705
683	1521	703
684	1523	700
685	1525	698
686	1527	695
687	1529	693
688	1531	691
689	1532	688
690	1534	686
691	1537	684
692	1539	681
693	1540	679
694	1542	677
695	1545	674
696	1546	672
697	1548	670
698	1550	667
699	1552	665
700	1554	662
701	1555	660
702	1557	658
703	1559	655
704	1561	653
705	1563	651
706	1565	648
707	1567	646
708	1569	644
709	1570	641
710	1572	639
711	1574	636
712	1576	634
713	1578	632
714	1580	629
715	1582	627
716	1584	625
717	1585	622
718	1587	620
719	1589	618
720	1591	615
721	1593	613
722	1595	611
723	1597	608
724	1598	606
725	1601	604
726	1602	601
727	1604	599
728	1606	597
729	1608	595
730	1610	592
731	1612	590
732	1614	588
733	1616	585
734	1617	583
735	1619	580
736	1621	578
737	1623	576
738	1625	574
739	1627	571
740	1629	569
741	1631	567
742	1632	564
743	1634	562
744	1636	560
745	1638	557
746	1640	555
747	1642	553
748	1644	551
749	1646	548
750	1647	546
751	1649	544
752	1651	541
753	1654	539
754	1656	537
755	1658	535
756	1659	532
757	1661	530
758	1663	528
759	1665	525
760	1666	523
761	1668	521
762	1671	519
763	1672	516
764	1674	514
765	1676	512
766	1678	509
767	1679	507
768	1681	505
769	1683	502
770	1685	500
771	1687	498
772	1689	496
773	1691	493
774	1693	491
775	1695	489
776	1696	486
777	1698	484
778	1701	482
779	1703	480
780	1705	478
781	1706	475
782	1708	473
783	1710	471
784	1712	468
785	1713	466
786	1717	464
787	1719	462
788	1720	460
789	1722	457
790	1724	455
791	1726	453
792	1728	451
793	1729	448
794	1732	446
795	1734	444
796	1735	442
797	1737	439
798	1739	437
799	1741	435
800	1742	432
801	1744	430
802	1746	428
803	1748	426
804	1750	424
805	1752	421
806	1754	419
807	1756	417
808	1758	415
809	1759	412
810	1761	410
811	1764	408
812	1765	406
813	1767	403
814	1769	401
815	1771	399
816	1773	397
817	1774	394
818	1776	392
819	1778	390
820	1780	388
821	1782	385
822	1784	383
823	1785	381
824	1787	379
825	1789	377
826	1791	374
827	1793	372
828	1795	370
829	1797	368
830	1799	365
831	1801	363
832	1802	361
833	1804	359
834	1806	356
835	1808	354
836	1810	352
837	1812	350
838	1814	348
839	1815	345
840	1817	343
841	1819	341
842	1821	339
843	1823	336
844	1825	334
845	1827	332
846	1829	330
847	1830	328
848	1832	325
849	1834	323
850	1836	321
851	1837	319
852	1839	317
853	1841	314
854	1843	312
855	1845	310
856	1847	308
857	1849	306
858	1850	303
859	1852	301
860	1854	299
861	1856	297
862	1858	295
863	1860	292
864	1862	290
865	1863	288
866	1865	286
867	1867	284
868	1869	281
869	1871	279
870	1873	277
871	1875	275
872	1877	273
873	1879	270
874	1881	268
875	1883	266
876	1884	264
877	1886	262
878	1889	260
879	1891	257
880	1893	255
881	1895	253
882	1896	251
883	1898	249
884	1901	247
885	1902	244
886	1905	242
887	1906	240
888	1908	238
889	1910	236
890	1912	234
891	1914	231
892	1916	229
893	1919	227
894	1921	225
895	1923	223
896	1925	221
897	1926	218
898	1928	216
899	1930	214
900	1932	212
901	1935	210
902	1937	208
903	1939	205
904	1940	203
905	1942	201
906	1944	199
907	1946	197
908	1948	195
909	1950	192
910	1952	190
911	1953	188
912	1955	186
913	1957	184
914	1959	182
915	1961	179
916	1962	177
917	1964	175
918	1967	173
919	1969	171
920	1970	169
921	1972	166
922	1974	164
923	1976	162
924	1977	160
925	1979	158
926	1982	156
927	1984	153
928	1985	151
929	1987	149
930	1989	147
931	1991	145
932	1993	143
933	1994	140
934	1996	138
935	1998	136
936	2000	134
937	2002	132
938	2004	130
939	2006	128
940	2008	125
941	2010	123
942	2012	121
943	2014	119
944	2016	117
945	2017	115
946	2019	113
947	2021	110
948	2023	108
949	2024	106
950	2026	104
951	2029	102
952	2030	100
953	2032	98
954	2034	95
955	2036	93
956	2038	91
957	2040	89
958	2042	87
959	2044	85
960	2046	83
961	2048	80
962	2050	78
963	2052	76
964	2054	74
965	2056	72
966	2057	70
967	2060	68
968	2062	65
969	2063	63
970	2065	61
971	2067	59
972	2069	57
973	2071	55
974	2072	53
975	2075	51
976	2077	48
977	2079	46
978	2080	44
979	2082	42
980	2084	40
981	2086	38
982	2088	36
983	2089	33
984	2092	31
985	2094	29
986	2096	27
987	2098	25
988	2100	23
989	2101	21
990	2103	19
991	2105	16
992	2107	14
993	2109	12
994	2111	10
995	2113	8
996	2115	6
997	2117	4
998	2119	2
999	2120	0
