iter	Logloss
0	0.6853693182
1	0.6777311845
2	0.6700271606
3	0.661817516
4	0.6548052701
5	0.64847856
6	0.642442946
7	0.636434451
8	0.6290317882
9	0.6234651045
10	0.6179021662
11	0.6116424561
12	0.6061386802
13	0.6005114469
14	0.5954786127
15	0.5893166282
16	0.5845364657
17	0.5798899217
18	0.5750952287
19	0.5703157945
20	0.5654236187
21	0.5609466553
22	0.5569128557
23	0.5527327798
24	0.548774858
25	0.5456096649
26	0.5409716173
27	0.5365249634
28	0.5331122312
29	0.5294180437
30	0.5254003698
31	0.521557964
32	0.5184221788
33	0.5143203735
34	0.5110015176
35	0.5070624265
36	0.5032193271
37	0.5000522267
38	0.4969639865
39	0.4941345215
40	0.4913124778
41	0.488187131
42	0.4855884552
43	0.4829900568
44	0.4796624617
45	0.4772922863
46	0.4749511719
47	0.4722737399
48	0.4698029605
49	0.467540949
50	0.4645915638
51	0.4618647489
52	0.4592296254
53	0.4569536036
54	0.4544701316
55	0.4524499373
56	0.450252533
57	0.4481596166
58	0.4463830081
59	0.4439512773
60	0.4419747439
61	0.4401887373
62	0.4375571511
63	0.436094943
64	0.4346984863
65	0.4328837655
66	0.4310381803
67	0.4295994845
68	0.4280500239
69	0.4261354273
70	0.4246277549
71	0.4233338443
72	0.4216221549
73	0.4198683305
74	0.4184613315
75	0.4168244795
76	0.4154704007
77	0.414111883
78	0.4127239574
79	0.4111440138
80	0.4096695293
81	0.4085447138
82	0.4067909934
83	0.4062139338
84	0.4050244418
85	0.4036257657
86	0.4026313088
87	0.4010764382
88	0.4000120336
89	0.3986984253
90	0.3971420635
91	0.3960446791
92	0.3948697177
93	0.3936833468
94	0.3929600109
95	0.3924483906
96	0.3914671811
97	0.3902481079
98	0.3892334331
99	0.3882270466
100	0.3871369795
101	0.3855991364
102	0.3848388325
103	0.3836402546
104	0.3824701829
105	0.3812366832
106	0.3802822807
107	0.3791089491
108	0.3777398543
109	0.3765722795
110	0.3757611015
111	0.3750701211
112	0.3739730835
113	0.3729381908
114	0.3719193545
115	0.3711947701
116	0.3704539906
117	0.3692999406
118	0.3681034435
119	0.3672831102
120	0.3666274331
121	0.3658101862
122	0.3646014127
123	0.3634134466
124	0.3626681935
125	0.361616308
126	0.3606839613
127	0.3596246199
128	0.3586780201
129	0.3582471327
130	0.3576287009
131	0.3568163785
132	0.3560491388
133	0.3550986897
134	0.3541194569
135	0.3534563238
136	0.3525087183
137	0.351578383
138	0.3510128368
139	0.3502114036
140	0.3493208452
141	0.3485672691
142	0.3478474704
143	0.3473890131
144	0.346738087
145	0.3459268743
146	0.3454700817
147	0.3448170402
148	0.3443050385
149	0.3434917797
150	0.3429309498
151	0.3423607913
152	0.3415477406
153	0.3409801483
154	0.3402137063
155	0.3397201538
156	0.3391461459
157	0.3386988553
158	0.3379567233
159	0.3372575933
160	0.3367471522
161	0.3364995783
162	0.3360294689
163	0.3355577295
164	0.335068512
165	0.3345250216
166	0.3338593223
167	0.3334342263
168	0.3326144479
169	0.3319435813
170	0.3314566872
171	0.3307769429
172	0.3300596757
173	0.3294291063
174	0.32889328
175	0.3284052762
176	0.3276974765
177	0.3271439986
178	0.3268304651
179	0.3263062564
180	0.3256689245
181	0.3253815044
182	0.3250780279
183	0.3245499351
184	0.3242254777
185	0.3238129356
186	0.323419779
187	0.3226343328
188	0.3219424161
189	0.3213722229
190	0.3205468611
191	0.3200876063
192	0.3194125782
193	0.3189455553
194	0.3186608748
195	0.3181742928
196	0.3179582422
197	0.3175695939
198	0.3172250227
199	0.3168228843
200	0.3161473361
201	0.3158056086
202	0.3154403687
203	0.3150350397
204	0.3145314997
205	0.3138599743
206	0.3134624828
207	0.3129776695
208	0.3126704129
209	0.3122206254
210	0.3117184032
211	0.3113312461
212	0.3109282754
213	0.3104411385
214	0.3098889438
215	0.3094521262
216	0.3090664257
217	0.3088654952
218	0.3084460172
219	0.3079227448
220	0.3074994174
221	0.3072223317
222	0.3070224068
223	0.3065833352
224	0.3062017961
225	0.3057052612
226	0.3053649556
227	0.3049487027
228	0.3047324094
229	0.3043454951
230	0.3039023659
231	0.303300372
232	0.3026838823
233	0.3022014271
234	0.3020124609
235	0.3016339389
236	0.3010657571
237	0.3005718925
238	0.3002505563
239	0.2997944225
240	0.2994492271
241	0.2991744995
242	0.2989209955
243	0.2986094388
244	0.2982787392
245	0.2978529497
246	0.2975769043
247	0.2972252586
248	0.2968522852
249	0.2965116327
250	0.2961992784
251	0.2959769856
252	0.2956789884
253	0.2952906175
254	0.2948590365
255	0.2944503091
256	0.293986754
257	0.2936970797
258	0.2932993802
259	0.2931180434
260	0.292764629
261	0.292374975
262	0.2921620802
263	0.2917683688
264	0.2916221965
265	0.2912895549
266	0.2910305717
267	0.2906505411
268	0.2902803768
269	0.2900568182
270	0.2898024819
271	0.2897037333
272	0.2894259886
273	0.2891760739
274	0.28865053
275	0.2882690603
276	0.2878715689
277	0.2874694824
278	0.2871183569
279	0.2867711501
280	0.2865852703
281	0.2863109589
282	0.2860105341
283	0.2856897701
284	0.2855360898
285	0.285126426
286	0.2847973563
287	0.2845835946
288	0.2842635415
289	0.2840129852
290	0.2837078615
291	0.2833120693
292	0.2830141068
293	0.2827693766
294	0.2824632124
295	0.2821621115
296	0.2818681544
297	0.2817312067
298	0.2813875198
299	0.2809574127
300	0.2807757291
301	0.2803788792
302	0.2802117608
303	0.2799824801
304	0.2796718597
305	0.2794230201
306	0.2789742036
307	0.2786419608
308	0.2784495614
309	0.2782958117
310	0.2779662392
311	0.277617732
312	0.2775440043
313	0.2772178303
314	0.2770374992
315	0.2767951619
316	0.2763949654
317	0.2762021498
318	0.2758062189
319	0.2755678003
320	0.2753621188
321	0.2752146981
322	0.2750491229
323	0.2749236367
324	0.2746554982
325	0.2744197152
326	0.2740075718
327	0.2737066616
328	0.2734174902
329	0.2730511232
330	0.2728747801
331	0.272386863
332	0.272051239
333	0.2717562069
334	0.2715790662
335	0.2714108554
336	0.2710537997
337	0.2706179532
338	0.2703791185
339	0.2701993942
340	0.2698881669
341	0.2696222479
342	0.269357716
343	0.2692410036
344	0.2689450697
345	0.2684346979
346	0.2679332733
347	0.2676267277
348	0.267306952
349	0.2670176073
350	0.2667309848
351	0.2665660165
352	0.266315703
353	0.2661241011
354	0.265944741
355	0.2656657479
356	0.2652694529
357	0.2650872491
